,Date,Time,Latitude,Longitude,VehicleID
0,2013-01-12,00:00:02,53.349731,-6.25365,43073
167,2013-01-12,00:00:22,53.349667,-6.253633,43073
358,2013-01-12,00:00:43,53.349682,-6.25365,43073
502,2013-01-12,00:00:55,53.349682,-6.25365,43073
542,2013-01-12,00:01:03,53.349415,-6.252717,43073
692,2013-01-12,00:01:22,53.3493,-6.25215,43073
832,2013-01-12,00:01:42,53.348518,-6.251483,43073
979,2013-01-12,00:01:54,53.391178,-6.26219,43073
1017,2013-01-12,00:02:00,53.391178,-6.26219,43073
1176,2013-01-12,00:02:21,53.391178,-6.26219,43073
1326,2013-01-12,00:02:41,53.391178,-6.26219,43073
1466,2013-01-12,00:02:55,53.386669,-6.265006,43073
1522,2013-01-12,00:03:02,53.386669,-6.265006,43073
1686,2013-01-12,00:03:22,53.386669,-6.265006,43073
1872,2013-01-12,00:03:44,53.386669,-6.265006,43073
1966,2013-01-12,00:03:55,53.384491,-6.265131,43073
2019,2013-01-12,00:04:03,53.384491,-6.265131,43073
2158,2013-01-12,00:04:21,53.384491,-6.265131,43073
2310,2013-01-12,00:04:41,53.384491,-6.265131,43073
2460,2013-01-12,00:04:56,53.382328,-6.265573,43073
2476,2013-01-12,00:05:02,53.382328,-6.265573,43073
2618,2013-01-12,00:05:20,53.382328,-6.265573,43073
2756,2013-01-12,00:05:41,53.382328,-6.265573,43073
121934,2013-01-12,08:18:53,53.342285,-6.2338,43073
121975,2013-01-12,08:19:01,53.342285,-6.2338,43073
122253,2013-01-12,08:19:07,53.342251,-6.233767,43073
123112,2013-01-12,08:20:01,53.342251,-6.233767,43073
124304,2013-01-12,08:21:02,53.342251,-6.233767,43073
124437,2013-01-12,08:21:06,53.341984,-6.233533,43073
125128,2013-01-12,08:21:47,53.341984,-6.233533,43073
125449,2013-01-12,08:22:02,53.341984,-6.233533,43073
125526,2013-01-12,08:22:06,53.341969,-6.23355,43073
125900,2013-01-12,08:22:26,53.3419,-6.233533,43073
126302,2013-01-12,08:22:46,53.341682,-6.2321,43073
126527,2013-01-12,08:23:01,53.341682,-6.2321,43073
126787,2013-01-12,08:23:07,53.341702,-6.231817,43073
127138,2013-01-12,08:23:27,53.341702,-6.231817,43073
127445,2013-01-12,08:23:47,53.341751,-6.2283,43073
127643,2013-01-12,08:24:00,53.341751,-6.2283,43073
127885,2013-01-12,08:24:06,53.341801,-6.22775,43073
128261,2013-01-12,08:24:26,53.340134,-6.223733,43073
129012,2013-01-12,08:25:07,53.337769,-6.22235,43073
129214,2013-01-12,08:25:26,53.336166,-6.222017,43073
130070,2013-01-12,08:26:08,53.334518,-6.218283,43073
130357,2013-01-12,08:26:27,53.333485,-6.2168,43073
130718,2013-01-12,08:26:47,53.332401,-6.215433,43073
131172,2013-01-12,08:27:07,53.331135,-6.2158,43073
131458,2013-01-12,08:27:26,53.329567,-6.215066,43073
131831,2013-01-12,08:27:46,53.328583,-6.214334,43073
132300,2013-01-12,08:28:06,53.327682,-6.21465,43073
132646,2013-01-12,08:28:27,53.326317,-6.214183,43073
132964,2013-01-12,08:28:47,53.325165,-6.212817,43073
133437,2013-01-12,08:29:07,53.324482,-6.211717,43073
133790,2013-01-12,08:29:27,53.324116,-6.2117,43073
134106,2013-01-12,08:29:46,53.324268,-6.212266,43073
134906,2013-01-12,08:30:27,53.324451,-6.211867,43073
135675,2013-01-12,08:31:07,53.324883,-6.208421,43073
136022,2013-01-12,08:31:26,53.325306,-6.207182,43073
136465,2013-01-12,08:31:48,53.32732,-6.208459,43073
136869,2013-01-12,08:32:08,53.328621,-6.208836,43073
137174,2013-01-12,08:32:27,53.329144,-6.208917,43073
137523,2013-01-12,08:32:47,53.330933,-6.209549,43073
137969,2013-01-12,08:33:07,53.332512,-6.210687,43073
138292,2013-01-12,08:33:26,53.332062,-6.211856,43073
138660,2013-01-12,08:33:46,53.331741,-6.213531,43073
139097,2013-01-12,08:34:06,53.33218,-6.215094,43073
139447,2013-01-12,08:34:27,53.332584,-6.21574,43073
139789,2013-01-12,08:34:45,53.332706,-6.215897,43073
140193,2013-01-12,08:35:06,53.333733,-6.217276,43073
140602,2013-01-12,08:35:26,53.334759,-6.21876,43073
140941,2013-01-12,08:35:46,53.335739,-6.220402,43073
141379,2013-01-12,08:36:05,53.336311,-6.222168,43073
141721,2013-01-12,08:36:26,53.337776,-6.222498,43073
142070,2013-01-12,08:36:46,53.338631,-6.223027,43073
142552,2013-01-12,08:37:07,53.338631,-6.223027,43073
142821,2013-01-12,08:37:25,53.339901,-6.223583,43073
143175,2013-01-12,08:37:46,53.340126,-6.223919,43073
143773,2013-01-12,08:38:08,53.340473,-6.22458,43073
144028,2013-01-12,08:38:26,53.341652,-6.226352,43073
144429,2013-01-12,08:38:47,53.341698,-6.228466,43073
144832,2013-01-12,08:39:07,53.341522,-6.230796,43073
145174,2013-01-12,08:39:26,53.341522,-6.230796,43073
145566,2013-01-12,08:39:46,53.341999,-6.235161,43073
146016,2013-01-12,08:40:07,53.341999,-6.235161,43073
146350,2013-01-12,08:40:27,53.342236,-6.236828,43073
146727,2013-01-12,08:40:47,53.342388,-6.238336,43073
147151,2013-01-12,08:41:08,53.342514,-6.239375,43073
147474,2013-01-12,08:41:26,53.342594,-6.239981,43073
147829,2013-01-12,08:41:46,53.342815,-6.241734,43073
148280,2013-01-12,08:42:07,53.342873,-6.242254,43073
148570,2013-01-12,08:42:25,53.343235,-6.244887,43073
148891,2013-01-12,08:42:46,53.343788,-6.24759,43073
149372,2013-01-12,08:43:06,53.343922,-6.248244,43073
149719,2013-01-12,08:43:27,53.344036,-6.248826,43073
150147,2013-01-12,08:43:49,53.344501,-6.251164,43073
150478,2013-01-12,08:44:05,53.344841,-6.252754,43073
150863,2013-01-12,08:44:26,53.344841,-6.252754,43073
151286,2013-01-12,08:44:49,53.345177,-6.254496,43073
151794,2013-01-12,08:45:13,53.345551,-6.256465,43073
152016,2013-01-12,08:45:27,53.345589,-6.256666,43073
152316,2013-01-12,08:45:46,53.345634,-6.257306,43073
152800,2013-01-12,08:46:08,53.345348,-6.258593,43073
153101,2013-01-12,08:46:27,53.345341,-6.258862,43073
153513,2013-01-12,08:46:47,53.34584,-6.259269,43073
153911,2013-01-12,08:47:07,53.34621,-6.259111,43073
154221,2013-01-12,08:47:26,53.346531,-6.259086,43073
154628,2013-01-12,08:47:48,53.346531,-6.259086,43073
155057,2013-01-12,08:48:07,53.347221,-6.259187,43073
155450,2013-01-12,08:48:27,53.348877,-6.259977,43073
155755,2013-01-12,08:48:47,53.349857,-6.260431,43073
156134,2013-01-12,08:49:06,53.349857,-6.260431,43073
156561,2013-01-12,08:49:28,53.350838,-6.260898,43073
156930,2013-01-12,08:49:48,53.351345,-6.261118,43073
157362,2013-01-12,08:50:09,53.351345,-6.261118,43073
157689,2013-01-12,08:50:27,53.351345,-6.261118,43073
157977,2013-01-12,08:50:45,53.351391,-6.261137,43073
158456,2013-01-12,08:51:10,53.35247,-6.261691,43073
158897,2013-01-12,08:51:28,53.351894,-6.262966,43073
159159,2013-01-12,08:51:47,53.353001,-6.264746,43073
159593,2013-01-12,08:52:08,53.354084,-6.266556,43073
159897,2013-01-12,08:52:26,53.354103,-6.266606,43073
160241,2013-01-12,08:52:49,53.354504,-6.266629,43073
160716,2013-01-12,08:53:07,53.355953,-6.265332,43073
161046,2013-01-12,08:53:27,53.356743,-6.264577,43073
161351,2013-01-12,08:53:46,53.356834,-6.264486,43073
161845,2013-01-12,08:54:08,53.357075,-6.264244,43073
162158,2013-01-12,08:54:26,53.357658,-6.263627,43073
162575,2013-01-12,08:54:47,53.359211,-6.261786,43073
162814,2013-01-12,08:55:07,53.3596,-6.261416,43073
163297,2013-01-12,08:55:26,53.3596,-6.261416,43073
163654,2013-01-12,08:55:46,53.360165,-6.260883,43073
164098,2013-01-12,08:56:09,53.36171,-6.259478,43073
164433,2013-01-12,08:56:27,53.362984,-6.258309,43073
164821,2013-01-12,08:56:48,53.363319,-6.257989,43073
165192,2013-01-12,08:57:08,53.36496,-6.256596,43073
165563,2013-01-12,08:57:26,53.366455,-6.25565,43073
165944,2013-01-12,08:57:49,53.367138,-6.255483,43073
166338,2013-01-12,08:58:07,53.367855,-6.255366,43073
166701,2013-01-12,08:58:27,53.36953,-6.254506,43073
166898,2013-01-12,08:58:48,53.371235,-6.253441,43073
167374,2013-01-12,08:59:06,53.373043,-6.252268,43073
167801,2013-01-12,08:59:27,53.374779,-6.251202,43073
168180,2013-01-12,08:59:47,53.375202,-6.250879,43073
168620,2013-01-12,09:00:08,53.375202,-6.250879,43073
168856,2013-01-12,09:00:26,53.375462,-6.250656,43073
169290,2013-01-12,09:00:48,53.376801,-6.249166,43073
169663,2013-01-12,09:01:08,53.378471,-6.247515,43073
169963,2013-01-12,09:01:26,53.380222,-6.246023,43073
170331,2013-01-12,09:01:46,53.381317,-6.245199,43073
170736,2013-01-12,09:02:13,53.381584,-6.245024,43073
171228,2013-01-12,09:02:31,53.382095,-6.244699,43073
171340,2013-01-12,09:02:48,53.382183,-6.244648,43073
171826,2013-01-12,09:03:06,53.383503,-6.243892,43073
172198,2013-01-12,09:03:27,53.385372,-6.243098,43073
172586,2013-01-12,09:03:47,53.387276,-6.243765,43073
172992,2013-01-12,09:04:07,53.387413,-6.243964,43073
173309,2013-01-12,09:04:26,53.387997,-6.244926,43073
173679,2013-01-12,09:04:46,53.389389,-6.246118,43073
174191,2013-01-12,09:05:09,53.389759,-6.246603,43073
174503,2013-01-12,09:05:27,53.389698,-6.247648,43073
174828,2013-01-12,09:05:47,53.38969,-6.249195,43073
175259,2013-01-12,09:06:08,53.390133,-6.249266,43073
175593,2013-01-12,09:06:28,53.391068,-6.250635,43073
175899,2013-01-12,09:06:46,53.391079,-6.253168,43073
176224,2013-01-12,09:07:07,53.390812,-6.254257,43073
176654,2013-01-12,09:07:25,53.390549,-6.256193,43073
177043,2013-01-12,09:07:46,53.390839,-6.258557,43073
177446,2013-01-12,09:08:08,53.391094,-6.260693,43073
177869,2013-01-12,09:08:28,53.391144,-6.261621,43073
178208,2013-01-12,09:08:47,53.391144,-6.261621,43073
178590,2013-01-12,09:09:07,53.391144,-6.261621,43073
179023,2013-01-12,09:09:27,53.391144,-6.261621,43073
179268,2013-01-12,09:09:45,53.391144,-6.261621,43073
179678,2013-01-12,09:10:06,53.391144,-6.261621,43073
180102,2013-01-12,09:10:26,53.391144,-6.261621,43073
180436,2013-01-12,09:10:46,53.391144,-6.261621,43073
180831,2013-01-12,09:11:07,53.391144,-6.261621,43073
181197,2013-01-12,09:11:25,53.391144,-6.261621,43073
181545,2013-01-12,09:11:46,53.391144,-6.261621,43073
181914,2013-01-12,09:12:06,53.391144,-6.261621,43073
182354,2013-01-12,09:12:27,53.391144,-6.261621,43073
182725,2013-01-12,09:12:47,53.391144,-6.261621,43073
183019,2013-01-12,09:13:10,53.391144,-6.261621,43073
183388,2013-01-12,09:13:26,53.391144,-6.261621,43073
184122,2013-01-12,09:14:07,53.391144,-6.261621,43073
184315,2013-01-12,09:14:11,53.391201,-6.262084,43073
184971,2013-01-12,09:14:48,53.391201,-6.2621,43073
185254,2013-01-12,09:15:06,53.391167,-6.262116,43073
185285,2013-01-12,09:15:08,53.391167,-6.262116,43073
185597,2013-01-12,09:15:26,53.391182,-6.2621,43073
185948,2013-01-12,09:15:45,53.391201,-6.262067,43073
186283,2013-01-12,09:16:05,53.391216,-6.262067,43073
186548,2013-01-12,09:16:11,53.391216,-6.262067,43073
186772,2013-01-12,09:16:28,53.391216,-6.262067,43073
187073,2013-01-12,09:16:46,53.391232,-6.262033,43073
187451,2013-01-12,09:17:07,53.391216,-6.262067,43073
187585,2013-01-12,09:17:11,53.391216,-6.262067,43073
187886,2013-01-12,09:17:27,53.391216,-6.262067,43073
188169,2013-01-12,09:17:45,53.391201,-6.262084,43073
188545,2013-01-12,09:18:06,53.391216,-6.262067,43073
188749,2013-01-12,09:18:12,53.391216,-6.262067,43073
189032,2013-01-12,09:18:28,53.391201,-6.26205,43073
189338,2013-01-12,09:18:46,53.391182,-6.262067,43073
189622,2013-01-12,09:19:05,53.391167,-6.262067,43073
189773,2013-01-12,09:19:09,53.391167,-6.262067,43073
190043,2013-01-12,09:19:25,53.391167,-6.262067,43073
190458,2013-01-12,09:19:45,53.391167,-6.262067,43073
190806,2013-01-12,09:20:06,53.391167,-6.262067,43073
190973,2013-01-12,09:20:10,53.391167,-6.262067,43073
191327,2013-01-12,09:20:28,53.391182,-6.262067,43073
191633,2013-01-12,09:20:47,53.391201,-6.262067,43073
191885,2013-01-12,09:21:05,53.391201,-6.262084,43073
192109,2013-01-12,09:21:09,53.391201,-6.262084,43073
